Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,D_elec_2020
13055SR07,Marseille Secteur 7,2.0,LLR,M,GALTIER,David,UNE VOLONTE POUR MARSEILLE AVEC MARTINE VASSAL,12.0,24.0,14.0,10080.0,11.86,50.98,0.0
13055SR08,Marseille Secteur 8,1.0,LDVG,F,GHALI,Samia,TOUS UNIS AVEC SAMIA GHALI,8.0,17.0,8.0,5025.0,10.49,38.17,1.0
13067,Orgon,3.0,LNC,M,PORTAL,Serge,ORGON 2020 - CAP SUR L'AVENIR,18.0,0.0,2.0,649.0,30.79,54.08,0.0
13070,La Penne-sur-Huveaune,1.0,LUG,F,CAPDEVILLE,Christine,Pour un village solidaire et responsable,22.0,0.0,1.0,1220.0,24.22,52.14,1.0
13071,Les Pennes-Mirabeau,3.0,LDVC,M,AMIEL,Michel,100% POUR LES PENNES-MIRABEAU,26.0,0.0,2.0,3201.0,18.27,44.37,0.0
13073,Peypin,2.0,LDVD,M,LEONARDIS,Jean Marie,ENSEMBLE POUR PEYPIN,23.0,0.0,1.0,1102.0,23.49,50.81,0.0
13075,Plan-de-Cuques,1.0,LLR,M,SIMON,Laurent,PLAN DE CUQUES AU COEUR,25.0,0.0,1.0,2742.0,28.19,52.22,0.0
13082,Rognes,2.0,LDVD,M,CORNO,Jean-François,Rognes A venir,19.0,0.0,1.0,821.0,20.7,36.36,0.0
13085,Roquefort-la-Bédoule,4.0,LDVC,M,DEL GRAZIA,Marc,RASSEMBLEMENT POUR L'AVENIR DE ROQUEFORT LA BEDOULE,22.0,0.0,1.0,1328.0,28.98,50.57,0.0
13096,Saintes-Maries-de-la-Mer,2.0,LNC,M,CHASSAIN,Roland,LES SAINTES NOUS AIMONS,15.0,0.0,1.0,1141.0,42.46,52.48,0.0
13098,Saint-Mitre-les-Remparts,3.0,LDVD,M,GOYET,Vincent,SAINT-MITRE-EN VIE !,23.0,0.0,1.0,1457.0,30.97,54.37,0.0
13100,Saint-Rémy-de-Provence,2.0,LDVG,M,CHERUBINI,Herve,DEFENDONS NOTRE HISTOIRE CONSTRUISONS NOTRE AVENIR AVEC HERVE CHERUBINI,22.0,0.0,11.0,2332.0,26.59,50.05,1.0
13104,Sausset-les-Pins,4.0,LECO,M,MARCHAND,Maxime,SAUSSET REUNI,23.0,0.0,1.0,2043.0,28.7,59.53,1.0
13108,Tarascon,3.0,LDVD,M,LIMOUSIN,Lucien,"ENSEMBLE, PROTEGEONS, DEFENDONS, VALORISONS TARASCON",25.0,0.0,8.0,1967.0,22.37,48.12,0.0
13109,Le Tholonet,2.0,LNC,M,LANGUILLE,Vincent,Le Tholonet pour l'avenir,16.0,0.0,1.0,726.0,39.07,62.75,0.0
13110,Trets,1.0,LDVD,M,CHAUVIN,Pascal,UN NOUVEL ELAN POUR TRETS,25.0,0.0,1.0,2121.0,24.68,47.11,0.0
13112,Velaux,2.0,LDVG,M,GUERIN,Yannick,VELAUX L'AVENTURE CITOYENNE,21.0,0.0,1.0,1444.0,19.94,41.84,1.0
14117,Cabourg,1.0,LDVD,M,DUVAL,Tristan,Vivre Cabourg ensemble 2020,22.0,0.0,5.0,1094.0,32.17,58.69,0.0
14221,Démouville,1.0,LNC,M,ROBERT,Ludovic,UNIS POUR DEMOUVILLE,17.0,0.0,1.0,576.0,22.7,47.49,0.0
14258,Falaise,3.0,LDIV,M,MAUNOURY,Hervé,J'AIME FALAISE,22.0,0.0,15.0,1379.0,23.76,51.21,0.0
14278,Fontenay-le-Pesnel,3.0,LNC,M,VILLECHENON,Richard,Agir ensemble pour l'avenir,12.0,0.0,2.0,309.0,34.95,52.73,0.0
14341,Ifs,1.0,LDVD,M,PATARD-LEGENDRE,Michel,IFS POUR TOUS - POURSUIVONS LE CHANGEMENT,27.0,0.0,3.0,1759.0,23.4,59.87,0.0
14366,Lisieux,6.0,LDVD,M,LECLERC,Sébastien,Lisieux Ensemble ! Avec Sébastien Leclerc,26.0,0.0,14.0,2534.0,19.07,44.02,0.0
14408,May-sur-Orne,2.0,LNC,M,MOTTAIS,Jean-Luc,"BIEN VIVRE A MAY, ENSEMBLE !",15.0,0.0,2.0,471.0,30.1,59.1,0.0
14515,Port-en-Bessin-Huppain,3.0,LNC,M,VAN ROYE,Christophe,PORTONS ENSEMBLE LES AMBITIONS POUR NOTRE TERRITOIRE,15.0,0.0,2.0,478.0,31.43,55.97,0.0
14536,La Rivière-Saint-Sauveur,3.0,LNC,M,DEPIROU,Didier,ENSEMBLE ET SIMPLEMENT,19.0,0.0,3.0,478.0,29.25,60.66,0.0
14654,Saint-Pierre-en-Auge,1.0,LDIV,M,MARIE,Jacky,Expérience et proximité / SPEA,45.0,0.0,6.0,1634.0,28.61,57.31,0.0
14699,Touques,3.0,LDVD,F,NOUVEL-ROUSSELOT,Colette,VIVRE TOUQUES ENSEMBLE,22.0,0.0,6.0,730.0,24.08,57.17,0.0
14715,Trouville-sur-Mer,1.0,LDIV,F,DE GAETANO,Sylvie,TROUVILLE POUR TOUS !,21.0,0.0,6.0,993.0,24.78,50.53,0.0
14754,Villers-sur-Mer,3.0,LNC,M,GRANTURCO,Thierry,J'AIME VILLERS,18.0,0.0,4.0,949.0,38.45,55.73,0.0
14762,Vire-Normandie,3.0,LDIV,M,ANDREU SABATER,Marc,ENSEMBLE POUR VIRE NORMANDIE,36.0,0.0,14.0,2780.0,21.23,51.35,0.0
15014,Aurillac,3.0,LUG,M,MATHONIER,Pierre,UNIS POUR AURILLAC,28.0,0.0,22.0,4701.0,28.49,59.3,1.0
15037,Champagnac,2.0,LNC,M,GALEYRAND,Jean-Pierre,CHAMPAGNAC TOUS ENSEMBLE,12.0,0.0,3.0,320.0,34.59,50.79,0.0
15153,Pleaux,2.0,LNC,M,PEYRAL,David,PLEAUX-DEMAIN,11.0,0.0,6.0,444.0,32.5,45.63,0.0
15187,Saint-Flour,2.0,LDVC,M,DELORT,Philippe,SAINT-FLOUR UN AVENIR EN COMMUN AVEC PHILIPPE DELORT,22.0,0.0,13.0,1110.0,27.0,47.42,0.0
15258,Vic-sur-Cère,2.0,LNC,F,DELRIEU-TOURTOULOU,Annie,VIC AU COEUR,15.0,0.0,7.0,537.0,37.55,50.28,0.0
16102,Cognac,4.0,LDVD,M,BERGER,Morgan,NOTRE PARTI C'EST COGNAC,24.0,0.0,16.0,2005.0,16.34,41.45,0.0
16167,Jarnac,2.0,LDVD,M,GESSE,Philippe,ENSEMBLE CONTINUONS,22.0,0.0,4.0,844.0,26.18,56.45,0.0
16271,Puymoyen,2.0,LNC,M,BRUNETEAU,Gérard,PUYMOYEN MA COMMUNE,15.0,0.0,1.0,590.0,27.28,53.01,0.0
16340,Saint-Même-les-Carrières,1.0,LNC,M,DELISLE,Fabien,SAINT MEME HORIZON 2020,11.0,0.0,1.0,180.0,21.58,40.45,0.0
16374,Soyaux,4.0,LDVD,M,NEBOUT,François,SOYAUX PASSIONNEMENT,21.0,0.0,3.0,933.0,15.59,41.23,0.0
17010,Angoulins,2.0,LDVD,M,NIVET,Jean-Pierre,AGIR POUR ANGOULINS,22.0,0.0,2.0,985.0,29.05,58.53,0.0
17021,Arvert,1.0,LNC,F,PERAUDEAU,Marie-Christine,ARVERT POUR TOUS,19.0,0.0,2.0,802.0,25.91,65.79,0.0
17028,Aytré,1.0,LDVD,M,LOISEL,Tony,TONY LOISEL OSEZ LE CHANGEMENT,21.0,0.0,3.0,964.0,16.5,38.04,0.0
17072,Burie,3.0,LNC,M,PERRIN,Gerard,AGIR ENSEMBLE POUR BURIE,11.0,0.0,1.0,243.0,26.56,45.94,0.0
17079,Chaillevette,2.0,LNC,M,MARY,Guy,BIEN VIVRE ENSEMBLE,13.0,0.0,1.0,243.0,19.3,36.49,0.0
17102,Chermignac,1.0,LNC,M,ROUGER,Jean-Michel,ENSEMBLE AVEC PASSION POUR CHERMIGNAC,12.0,0.0,1.0,365.0,37.75,60.23,0.0
