Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,Ordre_candidat,D_elec_2020
34176,Mudaison,LDIV,M,ROUQUETTE,Cyril,POUR MUDAISON ENSEMBLE,18,0.0,2.0,807.0,41.68,55.46,2,0.0
34183,Nissan-lez-Enserune,LDVG,M,CROS,Pierre,NISSAN A VENIR,21,0.0,4.0,1121.0,37.39,52.16,1,1.0
34192,Palavas-les-Flots,LUMP,M,JEANJEAN,Christian,RÉUSSIR PALAVAS ENSEMBLE,22,0.0,6.0,1943.0,33.97,46.24,1,0.0
34198,Pérols,LUD,M,RICO,Jean-Pierre,ENSEMBLEPOUR PEROLS,23,0.0,2.0,2452.0,33.14,50.68,2,0.0
34199,Pézenas,LDVD,M,VOGEL-SINGER,Alain,PEZENAS GRAND ANGLE,22,0.0,5.0,2290.0,37.69,51.35,2,0.0
34209,Portiragnes,LDVG,F,CHAUDOIR,Gwendoline,"PORTIRAGNES.2014.COM ""Plus loin ensemble""",17,0.0,2.0,811.0,29.87,44.63,1,1.0
34213,Poussan,LDVG,M,ADGÉ,Jacques,ENSEMBLE POUR UN AVENIR MAITRISE,22,0.0,6.0,1506.0,31.52,49.85,1,1.0
34217,Prades-le-Lez,LDVG,M,LUSSERT,Jean-Marc,"AGIR ENSEMBLE POUR PRADES LE LEZ, NATURELLEMENT",19,0.0,1.0,1064.0,27.68,40.7,2,1.0
34239,Saint-André-de-Sangonis,LDIV,M,LAMBOLEZ,Patrick,UN NOUVEAU ST ANDRE POUR VOUS,21,0.0,5.0,1124.0,28.67,42.72,3,0.0
34258,Saint-Geniès-de-Fontedit,LDVG,M,GAYSSOT,Lionel,UNE EQUIPE UNE DYNAMIQUE UN AVENIR,12,0.0,2.0,507.0,43.0,52.87,1,1.0
34259,Saint-Georges-d'Orques,LUMP,M,AUDRIN,Jean-François,AUDRIN 2014 CONTINUONS ENSEMBLE POUR SAINT GEORGES,23,0.0,1.0,1602.0,37.15,56.71,3,0.0
34270,Saint-Jean-de-Védas,LUD,F,GUIRAUD,Isabelle,"SAINT-JEAN, C'EST VOUS !",22,0.0,2.0,2403.0,32.34,48.18,4,0.0
34276,Saint-Mathieu-de-Tréviers,LSOC,M,LOPEZ,Jérôme,SAINT MATHIEU DE TREVIERS GRAND COEUR,21,0.0,4.0,1412.0,40.14,52.49,1,1.0
34284,Saint-Pons-de-Thomières,LDVG,M,CEBE,Georges,Ensemble décidons pour St Pons et sa commune,15,0.0,5.0,535.0,36.39,50.09,3,1.0
34300,Servian,LDVD,M,THOMAS,Christophe,Vraiment Servian,20,0.0,2.0,1131.0,33.22,47.94,3,0.0
34301,Sète,LUD,M,COMMEINHES,François,Pour Sète Evidemment,32,0.0,15.0,10841.0,34.18,47.63,2,0.0
34309,Teyran,LDIV,M,BASCOU,Eric,TEYRAN AU COEUR,22,0.0,3.0,1895.0,47.03,64.24,1,0.0
34324,Valras-Plage,LDVD,M,COMBES,Guy,ENSEMBLE PLUS LOIN POUR VALRAS-PLAGE,21,0.0,3.0,1565.0,39.29,49.37,2,0.0
34332,Vias,LDVD,M,DARTIER,Jordan,UNION VIASSOISE,22,0.0,4.0,1545.0,35.44,45.15,2,0.0
34336,Villeneuve-lès-Béziers,LDVG,M,GALONNIER,Jean-Paul,Ensemble encore plus loin pour Villeneuve,21,0.0,2.0,1097.0,36.87,50.58,1,1.0
34337,Villeneuve-lès-Maguelone,LDVG,M,SEGURA,Noël,CONTINUONS ENSEMBLE POUR VILLENEUVE,23,0.0,2.0,2520.0,38.08,51.34,2,1.0
35019,Bazouges-la-Pérouse,LDIV,M,HERVE,Pascal,FAISONS LE PARI D'UNIR,15,0.0,3.0,499.0,37.05,48.17,3,0.0
35040,Breteil,LDVG,M,LE LEZ,Joseph,Breteil au coeur,18,0.0,5.0,947.0,36.35,52.21,1,1.0
35049,Cancale,LDVD,M,MAHIEU,Pierre-Yves,CANCALE AUJOURD'HUI ET DEMAIN,22,0.0,4.0,1609.0,33.45,50.42,2,0.0
35051,Cesson-Sévigné,LUD,M,PLOUHINEC,Albert,Mieux vivre à Cesson-Sévigné,27,0.0,2.0,5178.0,39.41,60.56,2,0.0
35068,Châteaubourg,LDIV,M,REGNIER,Teddy,Sculptons l'Avenir,21,0.0,5.0,1436.0,31.74,44.69,3,0.0
35093,Dinard,LDVD,F,CRAVEIA,Martine,DINARD DEMAIN,26,0.0,9.0,3509.0,38.98,55.5,1,0.0
35115,Fougères,LDVG,M,FEUVRIER,Louis,Se battre et réussir ensemble avec Louis FEVRIER,25,0.0,13.0,4144.0,28.95,48.32,1,1.0
35129,Guipry,LDVD,M,BOULAIS,Bernard,L'AVENIR ENSEMBLE,20,0.0,3.0,838.0,31.91,43.71,2,0.0
35136,Janzé,LDVG,M,PARIS,Hubert,Janzé résolument,23,0.0,8.0,2131.0,37.95,55.21,1,1.0
35173,Melesse,LDVG,M,JAOUEN,Claude,Melesse l'innovation solidaire,21,0.0,5.0,1368.0,31.42,43.29,1,1.0
35178,Mézières-sur-Couesnon,LDVD,M,BARBETTE,Olivier,Mézières avec et pour vous,11,0.0,2.0,343.0,33.08,40.5,3,0.0
35188,Montfort-sur-Meu,LDVD,F,DAVID,Delphine,UNE VILLE QUI AVANCE,22,0.0,6.0,1485.0,31.42,45.22,3,0.0
35212,Pancé,LDIV,M,PRINCEN,Jean-Marie,LE MEILLEUR AVENIR POUR PANCE,11,0.0,2.0,277.0,34.24,43.97,2,0.0
35224,Plerguer,LDVG,M,BEAUDOIN,Jean-Luc,"ENSEMBLE, AGISSONS POUR PLERGUER",15,0.0,2.0,702.0,36.09,49.06,1,1.0
35236,Redon,LDVD,M,DUCHENE,Pascal,VIVRE ET REUSSIR  REDON,22,0.0,6.0,1996.0,29.02,51.97,2,0.0
35238,Rennes,LUG,F,APPÉRÉ,Nathalie,RENNES CREATIVE ET SOLIDAIRE,48,0.0,37.0,32851.0,28.44,55.83,1,1.0
35249,Sainte-Anne-sur-Vilaine,LDVD,M,GAUDICHON,Jean-Michel,ENSEMBLE POUR DEMAIN,12,0.0,4.0,265.0,39.09,46.25,3,0.0
35251,Saint-Aubin-d'Aubigné,LDIV,M,RICHARD,Jacques,VIVRE ET ENTREPRENDRE A SAINT-AUBIN D'AUBIGNE,18,0.0,4.0,846.0,33.29,51.43,2,0.0
35253,Saint-Aubin-du-Cormier,LDIV,M,BEGASSE,Jérôme,"Saint Aubin, associons nos forces",21,0.0,5.0,870.0,39.89,54.68,1,0.0
