Code du département_x,Libellé du département,Nom de l'élu,Prénom de l'élu,Code commune,Libellé commune,Nuance Liste,D_elec_2020
6,Alpes-Maritimes,LEROY,Sébastien,06079,Mandelieu-la-Napoule,LLR,0.0
6,Alpes-Maritimes,ASCHIERI,Pierre,06084,Mouans-Sartoux,LDIV,0.0
6,Alpes-Maritimes,GALY,Richard,06085,Mougins,LLR,0.0
6,Alpes-Maritimes,ESTROSI,Christian,06088,Nice,LDVD,0.0
6,Alpes-Maritimes,OCCELLI,Thierry,06089,Opio,,
6,Alpes-Maritimes,SIMON,Florence,06090,Pégomas,LDVD,0.0
6,Alpes-Maritimes,PIAZZA,Cyril,06091,Peille,,
6,Alpes-Maritimes,RANCUREL,Jean-Marc,06092,Peillon,,
6,Alpes-Maritimes,SAINTE-ROSE FANCHINE,Philippe,06095,Peymeinade,LDIV,0.0
6,Alpes-Maritimes,CORPORANDY,Pierre,06099,Puget-Théniers,,
6,Alpes-Maritimes,MANFREDI,Gérard,06103,Roquebillière,,
6,Alpes-Maritimes,CESARI,Patrick,06104,Roquebrune-Cap-Martin,LLR,0.0
6,Alpes-Maritimes,ROSSI,Michel,06105,Roquefort-les-Pins,LLR,0.0
6,Alpes-Maritimes,LOMBARDO,Gérald,06112,Le Rouret,LLR,0.0
6,Alpes-Maritimes,FILIPPI,Albert,06113,Sainte-Agnès,,
6,Alpes-Maritimes,CARLIN,Jean-Jacques,06114,Saint-André de la Roche,LDVD,0.0
6,Alpes-Maritimes,FABRE,Jean-Paul,06117,Saint-Blaise,,
6,Alpes-Maritimes,ZEDET,Christian,06118,Saint-Cézaire-sur-Siagne,LDIV,0.0
6,Alpes-Maritimes,FABRON,Colette,06120,Saint-Etienne-de-Tinée,,
6,Alpes-Maritimes,DIETERICH,Jean-François,06121,Saint-Jean-Cap-Ferrat,,
6,Alpes-Maritimes,CHARLES,Julie,06122,Saint-Jeannet,LDIV,0.0
